,Value
Argentina,0.0
Australia,305655.87
Bangladesh,0.0
Solomon Islands,0.0
Brunei Darussalam,0.0
Myanmar,0.0
China,0.0
"China, Taiwan Province of",0.0
Cook Islands,0.0
Fiji,1438.0
France,0.0
French Polynesia,0.0
Germany,0.0
Kiribati,0.0
"China, Hong Kong SAR",0.0
Indonesia,0.0
Israel,0.0
Japan,0.0
Republic of Korea,0.0
Malaysia,0.0
Nauru,0.0
New Caledonia,7417.0
Vanuatu,915.96
New Zealand,209281.0
Niue,0.0
Micronesia (Federated States of),91.81
Marshall Islands,0.0
Pakistan,0.0
Papua New Guinea,12622.34
Philippines,0.0
Timor-Leste,0.0
Singapore,0.0
South Africa,0.0
Thailand,0.0
Tonga,0.0
United Arab Emirates,0.0
Türkiye,0.0
United Kingdom,0.0
United States of America,0.0
Samoa,0.0
